"action","label","src","dest","note"
"moved","yoon_case_md","H:\내 드라이브\1.민사\보관\추출파일\기본사례의맥_24_p301-330.md","H:\내 드라이브\1.민사\보관\윤동환_민법의맥\교재_추출\기본사례의맥_24_p301-330.md",""
"moved","yoon_case_md","H:\내 드라이브\1.민사\보관\추출파일\기본사례의맥_24_p331-360.md","H:\내 드라이브\1.민사\보관\윤동환_민법의맥\교재_추출\기본사례의맥_24_p331-360.md",""
"moved","yoon_case_md","H:\내 드라이브\1.민사\보관\추출파일\기본사례의맥_24_p361-390.md","H:\내 드라이브\1.민사\보관\윤동환_민법의맥\교재_추출\기본사례의맥_24_p361-390.md",""
"moved","yoon_case_md","H:\내 드라이브\1.민사\보관\추출파일\기본사례의맥_24_p391-420.md","H:\내 드라이브\1.민사\보관\윤동환_민법의맥\교재_추출\기본사례의맥_24_p391-420.md",""
"moved","yoon_case_md","H:\내 드라이브\1.민사\보관\추출파일\기본사례의맥_24_p421-450.md","H:\내 드라이브\1.민사\보관\윤동환_민법의맥\교재_추출\기본사례의맥_24_p421-450.md",""
"moved","yoon_case_md","H:\내 드라이브\1.민사\보관\추출파일\기본사례의맥_24_p451-473.md","H:\내 드라이브\1.민사\보관\윤동환_민법의맥\교재_추출\기본사례의맥_24_p451-473.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p001-030.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p001-030.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p031-060.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p031-060.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p061-090.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p061-090.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p091-120.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p091-120.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p121-150.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p121-150.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p151-180.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p151-180.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p181-210.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p181-210.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p211-240.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p211-240.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p241-270.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p241-270.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p271-300.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p271-300.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p301-330.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p301-330.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p331-360.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p331-360.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p361-390.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p361-390.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p391-420.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p391-420.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p421-450.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p421-450.md",""
"moved","ref_interp_md","H:\내 드라이브\1.민사\보관\추출파일\민법의해석_p451-479.md","H:\내 드라이브\1.민사\보관\참고\교재_추출\민법의해석_p451-479.md",""
"moved","ref_interp_pdf","H:\내 드라이브\1.민사\기타자료\참고_민법의해석.pdf","H:\내 드라이브\1.민사\보관\참고\교재\참고_민법의해석.pdf",""
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p001-030.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p001-030.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p031-060.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p031-060.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p061-090.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p061-090.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p091-120.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p091-120.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p121-150.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p121-150.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p151-180.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p151-180.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p181-210.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p181-210.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p211-240.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p211-240.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p241-270.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p241-270.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p271-300.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p271-300.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p301-330.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p301-330.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p331-360.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p331-360.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p361-390.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p361-390.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p391-420.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p391-420.md","zero_length_extract"
"moved","song_daily_md","H:\내 드라이브\1.민사\보관\추출파일\Basic민법_Daily_Test_p421-422.md","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\Basic민법_Daily_Test_p421-422.md","zero_length_extract"
"moved","parks_talk_md","H:\내 드라이브\1.민사\보관\추출파일\TalkFile_민법사례연습_박승수.pdf_p001-030.md","H:\내 드라이브\1.민사\보관\박승수_민법기본사례\교재_추출\TalkFile_민법사례연습_박승수.pdf_p001-030.md","zero_length_extract"
"moved","parks_talk_md","H:\내 드라이브\1.민사\보관\추출파일\TalkFile_민법사례연습_박승수.pdf_p031-049.md","H:\내 드라이브\1.민사\보관\박승수_민법기본사례\교재_추출\TalkFile_민법사례연습_박승수.pdf_p031-049.md","zero_length_extract"
